_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudFF0bGVRMVZ4dTA,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTF9vOFRVVHl3Z2M,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2017,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuX3ZrN3F5SDJJREk,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2017,,,
VERSION,PBFT,,,
ASPECT,Expenses,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Dollar,,,
UNITS_CODE,DOLLAR,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,,,,
INTAKE_DATETIME,,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Expense:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Other Expenditures,11250
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Contribution To Reserves/Reserve Funds,58651
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Equipment,96807
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Inter-Divisional Charges,161890
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Materials & Supplies,568572
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Service And Rent,803954
Economic Development & Culture,Museums & Heritage Services,Collections & Heritage Properties Conservation,Salaries And Benefits,3512529
Economic Development & Culture,Museums & Heritage Services,"Historical Museums, Collections & Heritage Properties",Equipment,22062
Economic Development & Culture,Museums & Heritage Services,"Historical Museums, Collections & Heritage Properties",Inter-Divisional Charges,24340
Economic Development & Culture,Museums & Heritage Services,"Historical Museums, Collections & Heritage Properties",Other Expenditures,75280
Economic Development & Culture,Museums & Heritage Services,"Historical Museums, Collections & Heritage Properties",Materials & Supplies,157683
Economic Development & Culture,Museums & Heritage Services,"Historical Museums, Collections & Heritage Properties",Service And Rent,802281
Economic Development & Culture,Museums & Heritage Services,"Historical Museums, Collections & Heritage Properties",Salaries And Benefits,5165867
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",Equipment,4687
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",Other Expenditures,16361
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",Inter-Divisional Charges,30873
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",Materials & Supplies,161027
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",Service And Rent,501016
Economic Development & Culture,Museums & Heritage Services,"Museums Classes, Exhibits & Events",Salaries And Benefits,2205232
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Materials & Supplies,5806
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Equipment,11010
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Contribution To Reserves/Reserve Funds,53905
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Service And Rent,110643
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Inter-Divisional Charges,123358
Engineering & Construction Services,WT-Engineering Information,Bridge Condition Assessment,Salaries And Benefits,766964
Engineering & Construction Services,WT-Engineering Information,Land Information,Contribution To Reserves/Reserve Funds,26952
Engineering & Construction Services,WT-Engineering Information,Land Information,Materials & Supplies,40758
Engineering & Construction Services,WT-Engineering Information,Land Information,Equipment,47153
Engineering & Construction Services,WT-Engineering Information,Land Information,Inter-Divisional Charges,110209
Engineering & Construction Services,WT-Engineering Information,Land Information,Service And Rent,277248
Engineering & Construction Services,WT-Engineering Information,Land Information,Salaries And Benefits,8112289
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Equipment,26862
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Materials & Supplies,42261
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Contribution To Reserves/Reserve Funds,53905
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Inter-Divisional Charges,88622
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Service And Rent,302060
Engineering & Construction Services,WT-Engineering Review & Acceptance,3rd Party Application Review & Acceptance,Salaries And Benefits,5922735
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Equipment,25917
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Materials & Supplies,51847
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Contribution To Reserves/Reserve Funds,53905
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Inter-Divisional Charges,71246
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Service And Rent,422517
Engineering & Construction Services,WT-Engineering Review & Acceptance,Development Application Review & Acceptance,Salaries And Benefits,6347865
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Equipment,102103
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Contribution To Reserves/Reserve Funds,107809
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Materials & Supplies,136314
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Service And Rent,1047443
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Inter-Divisional Charges,2137605
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Construction,Salaries And Benefits,25869216
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Materials & Supplies,124340
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Equipment,266378
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Contribution To Reserves/Reserve Funds,431571
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Service And Rent,864558
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Inter-Divisional Charges,1516338
Engineering & Construction Services,WT-Municipal Infrastructure Construction,Design,Salaries And Benefits,17546968
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",Materials & Supplies,270363
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",Salaries And Benefits,1092819
Exhibition Place,"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",Service And Rent,3625255
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,Equipment,365840
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,Contribution To Reserves/Reserve Funds,970000
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,Materials & Supplies,1917316
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,Service And Rent,4385352
Exhibition Place,Exhibition Place Asset Management,Exhibition Place Asset Management,Salaries And Benefits,7029189
Exhibition Place,Exhibition Place Parking Access,Exhibition Place Parking Access,Service And Rent,1273167
Exhibition Place,Exhibition Place Parking Access,Exhibition Place Parking Access,Salaries And Benefits,1426432
Exhibition Place,Exhibitions & Events,Exhibitions & Events,Equipment,12000
Exhibition Place,Exhibitions & Events,Exhibitions & Events,Materials & Supplies,953770
Exhibition Place,Exhibitions & Events,Exhibitions & Events,Contribution To Reserves/Reserve Funds,972500
Exhibition Place,Exhibitions & Events,Exhibitions & Events,Service And Rent,3836631
Exhibition Place,Exhibitions & Events,Exhibitions & Events,Salaries And Benefits,21942892
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Equipment,16244
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Contribution To Reserves/Reserve Funds,25148
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Inter-Divisional Charges,175944
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Service And Rent,1170232
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Salaries And Benefits,4282470
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Other Expenditures,4619944
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Energy Management & Programs,Materials & Supplies,30681565
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Equipment,2010
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Inter-Divisional Charges,46404
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Materials & Supplies,48562
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Other Expenditures,80000
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Service And Rent,411495
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Environment & Energy Outreach,Salaries And Benefits,1033774
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Materials & Supplies,11909
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Equipment,26508
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Inter-Divisional Charges,43804
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Service And Rent,247383
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Contribution To Reserves/Reserve Funds,400000
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Renewable Energy,Salaries And Benefits,934928
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,Equipment,1983
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,Materials & Supplies,3765
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,Contribution To Reserves/Reserve Funds,19380
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,Service And Rent,504247
"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,Research & Policy Development,Salaries And Benefits,1637983
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Corporate Security,Equipment,41862
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Corporate Security,Contribution To Reserves/Reserve Funds,75708
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Corporate Security,Materials & Supplies,119521
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Corporate Security,Inter-Divisional Charges,179813
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Corporate Security,Service And Rent,5161820
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Corporate Security,Salaries And Benefits,14310130
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Contribution To Reserves/Reserve Funds,17234
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Equipment,177648
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Inter-Divisional Charges,178104
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Materials & Supplies,1212095
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Service And Rent,8903549
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Custodial Care,Salaries And Benefits,19843497
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Contribution To Reserves/Reserve Funds,180687
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Equipment,324819
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Inter-Divisional Charges,863817
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Materials & Supplies,2442519
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Service And Rent,22711915
"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,Facilities Maintenance,Salaries And Benefits,43251742
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Development & Portfolio Planning,Equipment,4000
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Development & Portfolio Planning,Materials & Supplies,15089
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Development & Portfolio Planning,Inter-Divisional Charges,222628
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Development & Portfolio Planning,Service And Rent,387457
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Development & Portfolio Planning,Salaries And Benefits,2094983
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Equipment,27274
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Inter-Divisional Charges,43266
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Materials & Supplies,179719
"Facilities, Real Estate, Environment & Energy",CA-Real Estate,Lease Management,Other Expenditures,1450555
